"wallMessages","robotMessages","tick"
552.0,370.0,1.0
918.0,370.0,2.0
1284.0,370.0,3.0
1650.0,370.0,4.0
2016.0,370.0,5.0
2381.0,370.0,6.0
2929.0,921.0,7.0
3475.0,1468.0,8.0
3837.0,1468.0,9.0
4380.0,2011.0,10.0
4922.0,2552.0,11.0
5282.0,2552.0,12.0
5821.0,3089.0,13.0
6359.0,3624.0,14.0
6717.0,3624.0,15.0
7259.0,4169.0,16.0
7792.0,4698.0,17.0
8154.0,4711.0,18.0
8684.0,5236.0,19.0
9220.0,5773.0,20.0
9573.0,5773.0,21.0
10106.0,6306.0,22.0
10631.0,6823.0,23.0
10990.0,6838.0,24.0
11512.0,7351.0,25.0
12041.0,7878.0,26.0
12397.0,7899.0,27.0
12922.0,8422.0,28.0
13438.0,8927.0,29.0
13793.0,8944.0,30.0
14313.0,9470.0,31.0
14825.0,9969.0,32.0
15179.0,9988.0,33.0
15691.0,10490.0,34.0
16205.0,11007.0,35.0
16548.0,11010.0,36.0
17063.0,11521.0,37.0
17567.0,12008.0,38.0
17928.0,12058.0,39.0
18428.0,12543.0,40.0
18928.0,13024.0,41.0
19271.0,13033.0,42.0
19789.0,13564.0,43.0
20287.0,14046.0,44.0
20636.0,14073.0,45.0
21131.0,14551.0,46.0
21631.0,15050.0,47.0
21965.0,15053.0,48.0
22468.0,15548.0,49.0
22957.0,16014.0,50.0
23318.0,16088.0,51.0
23801.0,16549.0,52.0
24285.0,17008.0,53.0
24617.0,17021.0,54.0
25123.0,17540.0,55.0
25600.0,17991.0,56.0
25949.0,18041.0,57.0
26422.0,18490.0,58.0
26905.0,18969.0,59.0
27231.0,18981.0,60.0
27720.0,19462.0,61.0
28187.0,19901.0,62.0
28542.0,19986.0,63.0
29005.0,20423.0,64.0
29469.0,20858.0,65.0
29788.0,20868.0,66.0
30279.0,21375.0,67.0
30736.0,21802.0,68.0
31076.0,21857.0,69.0
31529.0,22282.0,70.0
31993.0,22741.0,71.0
32306.0,22750.0,72.0
32779.0,23215.0,73.0
33226.0,23630.0,74.0
33573.0,23724.0,75.0
34016.0,24137.0,76.0
34460.0,24548.0,77.0
34766.0,24555.0,78.0
35242.0,25050.0,79.0
35679.0,25453.0,80.0
35984.0,25462.0,81.0
36443.0,25913.0,82.0
36888.0,26351.0,83.0
37215.0,26410.0,84.0
37645.0,26807.0,85.0
38072.0,27198.0,86.0
38382.0,27246.0,87.0
38833.0,27689.0,88.0
39257.0,28076.0,89.0
39579.0,28137.0,90.0
40012.0,28567.0,91.0
40429.0,28946.0,92.0
40720.0,28948.0,93.0
41164.0,29383.0,94.0
41593.0,29806.0,95.0
41910.0,29867.0,96.0
42321.0,30240.0,97.0
42730.0,30611.0,98.0
43061.0,30724.0,99.0
43465.0,31089.0,100.0
43870.0,31452.0,101.0
44184.0,31517.0,102.0
44601.0,31930.0,103.0
44999.0,32285.0,104.0
45313.0,32354.0,105.0
45709.0,32711.0,106.0
46118.0,33112.0,107.0
46428.0,33181.0,108.0
46820.0,33530.0,109.0
47209.0,33873.0,110.0
47536.0,34001.0,111.0
47921.0,34342.0,112.0
48307.0,34681.0,113.0
48615.0,34758.0,114.0
49012.0,35148.0,115.0
49391.0,35479.0,116.0
49698.0,35556.0,117.0
50074.0,35885.0,118.0
50467.0,36269.0,119.0
50770.0,36346.0,120.0
51143.0,36671.0,121.0
51514.0,36994.0,122.0
51777.0,36996.0,123.0
52200.0,37447.0,124.0
52565.0,37760.0,125.0
52865.0,37841.0,126.0
53230.0,38158.0,127.0
53606.0,38523.0,128.0
53861.0,38523.0,129.0
54263.0,38914.0,130.0
54619.0,39215.0,131.0
54934.0,39359.0,132.0
55287.0,39658.0,133.0
55641.0,39955.0,134.0
55893.0,39955.0,135.0
56307.0,40402.0,136.0
56654.0,40691.0,137.0
56950.0,40782.0,138.0
57296.0,41076.0,139.0
57656.0,41421.0,140.0
57902.0,41421.0,141.0
58291.0,41801.0,142.0
58628.0,42078.0,143.0
58937.0,42234.0,144.0
59273.0,42515.0,145.0
59607.0,42788.0,146.0
59895.0,42883.0,147.0
60245.0,43222.0,148.0
60572.0,43487.0,149.0
60860.0,43586.0,150.0
61185.0,43853.0,151.0
61527.0,44180.0,152.0
61811.0,44279.0,153.0
62132.0,44538.0,154.0
62451.0,44795.0,155.0
62755.0,44966.0,156.0
62987.0,44966.0,157.0
63271.0,45067.0,158.0
63504.0,45071.0,159.0
63806.0,45241.0,160.0
64036.0,45241.0,161.0
64399.0,45588.0,162.0
64712.0,45839.0,163.0
65011.0,46013.0,164.0
65319.0,46256.0,165.0
65677.0,46597.0,166.0
65903.0,46601.0,167.0
66279.0,47017.0,168.0
66581.0,47252.0,169.0
66855.0,47353.0,170.0
67154.0,47584.0,171.0
67528.0,48001.0,172.0
67747.0,48001.0,173.0
68093.0,48328.0,174.0
68387.0,48555.0,175.0
68681.0,48745.0,176.0
68897.0,48745.0,177.0
69239.0,49067.0,178.0
69455.0,49067.0,179.0
69747.0,49262.0,180.0
70033.0,49690.0,181.0
70299.0,49793.0,182.0
70511.0,49797.0,183.0
70872.0,50411.0,184.0
71082.0,50411.0,185.0
71343.0,50514.0,186.0
71620.0,50918.0,187.0
71910.0,51125.0,188.0
72115.0,51125.0,189.0
72442.0,51622.0,190.0
72648.0,51626.0,191.0
72932.0,51834.0,192.0
73199.0,52214.0,193.0
73456.0,52321.0,194.0
73656.0,52321.0,195.0
74005.0,52906.0,196.0
74204.0,52906.0,197.0
74457.0,53013.0,198.0
74716.0,53198.0,199.0
74998.0,53416.0,200.0
75194.0,53416.0,201.0
75503.0,53699.0,202.0
75757.0,53874.0,203.0
76038.0,54099.0,204.0
76288.0,54270.0,205.0
76592.0,54547.0,206.0
76784.0,54551.0,207.0
77116.0,54943.0,208.0
77360.0,55106.0,209.0
77604.0,55215.0,210.0
77846.0,55375.0,211.0
78124.0,55611.0,212.0
78310.0,55611.0,213.0
78604.0,55876.0,214.0
78790.0,55880.0,215.0
79115.0,56269.0,216.0
79298.0,56269.0,217.0
79587.0,56528.0,218.0
79771.0,56533.0,219.0
80043.0,56772.0,220.0
80225.0,56773.0,221.0
80461.0,56879.0,222.0
80644.0,56884.0,223.0
80914.0,57123.0,224.0
81095.0,57124.0,225.0
81327.0,57225.0,226.0
81558.0,57377.0,227.0
81826.0,57617.0,228.0
82004.0,57617.0,229.0
82281.0,57861.0,230.0
82507.0,58007.0,231.0
82772.0,58251.0,232.0
82993.0,58389.0,233.0
83265.0,58627.0,234.0
83439.0,58631.0,235.0
83746.0,59012.0,236.0
83961.0,59142.0,237.0
84184.0,59245.0,238.0
84397.0,59375.0,239.0
84700.0,59754.0,240.0
84867.0,59754.0,241.0
85127.0,59978.0,242.0
85334.0,60100.0,243.0
85593.0,60360.0,244.0
85795.0,60474.0,245.0
86050.0,60692.0,246.0
86213.0,60696.0,247.0
86506.0,61069.0,248.0
86702.0,61175.0,249.0
